Account No.,Currency,Balance,Type
BIO51937151,JEY,386977,SAVINGS
TOK98653531,PYG,51899183,SAVINGS
,HXV,3386578,CURRENT
PNJ39003218,CFY,902,SAVINGS
FWN76663750,VXE,3212942,CURRENT
TPD83079316,LVO,55,SAVINGS
QDU48082860,AEW,207,SAVINGS
KRF39381974,HCD,,CURRENT
,TVR,,
HHE97042027,KPU,2,SAVINGS
PXP79078380,HBO,76796,SAVINGS
RDK56132069,QRI,85506,SAVINGS
IBK28515622,XOP,,CURRENT
FMW36672510,NPO,1,CURRENT
OLU83671579,QWE,,CURRENT
IEO32083555,NSC,67,CURRENT
ITI15947161,AAB,9,
YCS33360644,LTG,5222,SAVINGS
OIU49434249,FPX,461,SAVINGS
OMB46777752,AHS,527,SAVINGS
,QZS,61949906,SAVINGS
NFE38311260,AYW,100973,SAVINGS
WWH43190717,HLB,7,SAVINGS
HYG92871531,TBK,,SAVINGS
,KDY,94144,CURRENT
OWG50579583,LTH,9,CURRENT
RTW23626758,IIV,1605,CURRENT
WXX05408984,TYQ,,CURRENT
AHM86444473,YGH,5,SAVINGS
SNL89877387,CKK,9,SAVINGS
XVC40573141,ZXC,94,SAVINGS
QQK30714755,OUQ,,SAVINGS
WPW67367800,HRJ,556,CURRENT
NMR32669685,PJQ,57167899,CURRENT
BRD31357731,JDS,,CURRENT
VEI25486300,LWR,88546,CURRENT
XPB81934210,HCP,8,CURRENT
,HTR,390188,SAVINGS
ASG36388907,VFB,80981369,CURRENT
,IRB,,CURRENT
NNM23883045,YIT,,CURRENT
RZT73230572,JRE,835127,CURRENT
DCC40273841,YJS,13786067,SAVINGS
GXS98788132,MVS,35510,CURRENT
AIW53781248,JLB,7741325,
ZGR85983043,LNJ,306,SAVINGS
RHW21197760,IAS,,SAVINGS
HKX74211777,XRD,3521,SAVINGS
RHB80134161,PCF,8344224,CURRENT
ADU06837679,XHU,8,CURRENT
TZY03762016,SZJ,,CURRENT
ZSA64655989,AAW,928501,CURRENT
BWY35039441,,99,SAVINGS
QBB03487566,,99069493,CURRENT
OVX78440083,EUV,41,CURRENT
WTE24420303,NNT,4,SAVINGS
VMZ32240191,FTV,,SAVINGS
AGJ81190645,IMW,984,CURRENT
NHR31919324,PEZ,7653,SAVINGS
DLR12822858,,72774257,SAVINGS
BYA76429905,CPR,10,
ZWQ57585967,QSK,392598,CURRENT
MWM67576884,ILH,8892548,CURRENT
LIY09243018,DZE,95,SAVINGS
QUI33118675,DNT,81960589,
AZK00974684,TUD,,SAVINGS
RMM57033320,SMH,3711423,CURRENT
SFN24360025,ZJE,9,CURRENT
CSE51425048,ETQ,69783,SAVINGS
NOW59980182,RNT,35643016,SAVINGS
YRA09795230,OQO,,SAVINGS
MOR80321500,TJX,1538889,SAVINGS
XNN72934719,,1189,CURRENT
GPF91618669,,,CURRENT
UUG04384054,NHC,1848,
LMF76462938,JRC,802280,
ZAI68126814,MQB,,SAVINGS
,WYC,127593,CURRENT
XTS75488084,EXL,6731293,CURRENT
FDZ34269773,ENP,78275,CURRENT
,GMO,,SAVINGS
MUR99892590,KYI,9368763,SAVINGS
YFR08691884,CXH,78320235,SAVINGS
JPM92642756,SOK,62981,SAVINGS
XXX07224186,RZP,6,CURRENT
PYI33327609,CEK,8315,SAVINGS
LYH09612014,DII,,CURRENT
PNQ09657585,CVR,631650,SAVINGS
NIP00646792,LVK,41,CURRENT
KSJ85684461,OLI,170,SAVINGS
UZQ72470037,VII,197307,SAVINGS
NHA13957540,RHH,31494,SAVINGS
FSY88095654,,8,SAVINGS
FJA85742010,TFG,2,CURRENT
ANY19546996,KYU,7,SAVINGS
,YQS,,
DNW48056334,HSU,21,CURRENT
VRB08944354,OFY,347,SAVINGS
FLY79527433,JUF,,SAVINGS
,RPO,99908,CURRENT
