Account No.,Customer ID#,Currency
FBZ86684694,,JRZ
RGX69131739,,KPJ
LKR69050443,ID3,PXE
JDT93516134,ID4,
ABS43685879,ID5,PHG
QNM42458138,ID6,OQJ
THT67363764,ID7,ZZL
PKH40249036,ID8,KMP
IUQ15284494,ID9,UKZ
TEA04137233,ID10,FAS
BOW46475264,ID11,GAH
FZB96787853,ID12,TJV
RLJ35076412,ID13,SPT
NQJ06963022,ID14,NPO
JEX88292748,ID15,ZBI
JQV85602623,ID16,NRR
NRE37872448,ID17,QMX
HTP71979501,ID18,FUX
WZH82445911,ID19,SBY
ALO67963048,ID20,LHD
RJU72459409,ID21,RRB
RZM25979407,,ECN
IRR83439872,,VET
,ID24,RFH
QUB54405915,ID25,LHL
HKM08865884,ID26,WEI
KZN39502488,ID27,
DAD64378339,ID28,YEK
QOT76967293,ID29,RMO
DPT91425515,ID30,VFD
OLQ77191344,,YUO
FZV67571427,ID32,
ZOY80604596,,QBY
FFU36053442,,VBC
LBM55260904,ID35,IQP
ZRR33306350,ID36,IJR
NEV19817424,ID37,SQO
XAW46788556,ID38,ZBQ
ZBZ01980876,ID39,SPF
,ID40,EEE
IKT05131992,ID41,GPP
HDD99790038,ID42,WGT
GJF46076447,ID43,LRN
SKW07524249,ID44,JLN
,,IMZ
IOV60776290,ID46,GGR
HYK25863284,ID47,DQR
OJA96285947,ID48,SGR
IGS07002293,ID49,HKC
LDL84983397,,TDK
KEX49760862,ID51,DAW
BTX91732203,,
SGK07252659,ID53,
OIP87667399,ID54,VSK
LIL43680029,ID55,PMX
UML17754547,,KBY
SUZ09770835,ID57,SZL
BJL14917258,ID58,NZW
XCI68772914,ID59,GPX
DHE01420511,ID60,UDI
,,QOM
IFU50905959,ID62,EQV
UIG64693449,ID63,SIX
ZUN09507028,ID64,HNB
OMV90880327,ID65,FWG
