Currency,Customer ID#,Account No.,Type
CZL,ID50,CZH05984360,SAVINGS
SFX,ID17,RBL64423177,SAVINGS
RYB,ID21,ZVQ12676730,SAVINGS
ZTV,ID19,BFO70105172,SAVINGS
VDP,ID26,HNX95827624,SAVINGS
TAV,ID23,FXF92324163,SAVINGS
XZL,ID29,XSC72667448,CURRENT
PBK,ID31,JZN54850528,CURRENT
TRL,ID46,JBJ82671531,SAVINGS
YER,ID41,PBP29110737,CURRENT
HTS,ID24,FDJ73899720,CURRENT
WOP,ID33,BSB32097033,SAVINGS
XDQ,ID30,XLS80023390,CURRENT
UHR,ID53,TKP57095859,CURRENT
CQF,ID25,XTM48157574,CURRENT
VSS,ID56,WYY44357884,SAVINGS
SCL,ID37,KFP65260772,SAVINGS
ZCM,ID1,OTM19184193,SAVINGS
AWX,ID35,YNG52241466,SAVINGS
MCY,ID22,DMG69043704,CURRENT
INE,ID20,GHY58084340,SAVINGS
FZY,ID39,NWA27056534,SAVINGS
OJV,ID16,JAU11576911,SAVINGS
TTZ,ID44,FWB16933405,CURRENT
ZPW,ID27,DRY15090322,CURRENT
AJI,ID10,HQO45073968,CURRENT
BRG,ID13,GUC37781665,SAVINGS
NFX,ID51,SZL20426055,SAVINGS
DHN,ID18,GYN27397274,CURRENT
JLZ,ID49,VQU96161771,CURRENT
MEF,ID43,KGM97923960,CURRENT
VRB,ID47,PVG92552122,CURRENT
RQM,ID52,BIY34346380,SAVINGS
LIP,ID12,DGH24165084,CURRENT
FGR,ID6,JPD59567523,CURRENT
MJK,ID55,FSD64555106,CURRENT
IAG,ID54,EHE11490914,SAVINGS
MGR,ID11,BWF95580249,CURRENT
DXN,ID48,CSH03597141,SAVINGS
KBX,ID8,WXE22644215,CURRENT
TBN,ID3,VDY85712787,CURRENT
NWO,ID2,BFL74789841,SAVINGS
JEN,ID9,LAS15250030,SAVINGS
UME,ID57,YTY89388435,CURRENT
EIJ,ID14,GBM94891587,SAVINGS
UJX,ID38,ITI27793713,SAVINGS
JEK,ID36,PAE39038451,CURRENT
RWO,ID7,JZF61966991,CURRENT
IYF,ID15,XRQ21074656,SAVINGS
JRA,ID42,SIQ40063122,CURRENT
CJJ,ID34,NZL76425252,CURRENT
WZN,ID45,MWF75582565,CURRENT
BFH,ID32,HXX12742071,SAVINGS
HTL,ID40,KVW27675537,SAVINGS
LQQ,ID28,ODW32095931,SAVINGS
FCQ,ID5,TPY74620989,CURRENT
OBX,ID4,VRG64861168,CURRENT
