Account No.,Type,Customer ID#,Currency
,CURRENT,ID1,
QRZ60942036,,ID2,WVQ
QSG15386113,CURRENT,ID3,ASV
,SAVINGS,ID4,VFS
GBE81111644,CURRENT,ID5,GJY
JJS78121780,CURRENT,,YUC
ESP77816323,CURRENT,ID7,IYS
QYF90464070,CURRENT,,DUZ
LVG30117663,CURRENT,ID9,DEA
RAC08690652,SAVINGS,ID10,IIZ
,,ID11,AFB
PQY42413377,CURRENT,ID12,DHT
QUE87665458,,ID13,JQS
ZZV29242557,SAVINGS,,FOV
UWU30476175,CURRENT,ID15,JYD
XTT99737271,SAVINGS,ID16,LEW
,SAVINGS,ID17,RFP
IKE97349867,,ID18,AOX
RJA76010674,SAVINGS,ID19,GYJ
SQK29705158,CURRENT,ID20,AOM
OQG79290293,SAVINGS,ID21,NST
OBF07242898,,ID22,DXC
LKP15003717,SAVINGS,ID23,LRL
GTS76750327,SAVINGS,ID24,UYZ
SVS94006578,SAVINGS,ID25,UGR
KHA33165124,SAVINGS,ID26,WEH
,SAVINGS,ID27,WBN
,CURRENT,ID28,
EYK60666600,,ID29,XKQ
QPR18558092,CURRENT,ID30,LEI
NRS12542514,CURRENT,ID31,IUM
,CURRENT,ID32,SVZ
WPB73550122,CURRENT,ID33,TJG
TXC42410983,SAVINGS,ID34,RRO
POX23634189,CURRENT,ID35,LFO
EHE03520391,CURRENT,ID36,
XTG84893351,CURRENT,ID37,
ILR67359639,CURRENT,ID38,JQL
EEL96563512,CURRENT,ID39,UIT
FUP16084412,SAVINGS,ID40,CRV
KOW62319826,SAVINGS,ID41,NVX
DZE16456013,SAVINGS,ID42,XBZ
IDX13747477,,ID43,XJK
FDA61365281,CURRENT,ID44,INW
WBL57422298,SAVINGS,ID45,QLZ
PEA04210185,,ID46,ZYC
YYV15730523,CURRENT,ID47,ZUI
VIV11698341,SAVINGS,ID48,NGX
,CURRENT,ID49,FOE
ZKL04920729,CURRENT,,AOJ
BYQ71244011,SAVINGS,ID51,VLQ
FGB93465623,SAVINGS,ID52,HQJ
ZRE70502794,SAVINGS,ID53,IBI
GSG57530097,CURRENT,ID54,VDG
TJW12277609,CURRENT,ID55,
XJN45438943,CURRENT,ID56,
