Customer ID#,Currency,Account No.
ID1,SHA,NVG83774666
ID2,ZGH,XLN50641836
ID3,MLG,SFJ19581339
ID4,UZO,LUO30613515
ID5,EKX,BJD69405171
ID6,WYT,QHK99827669
ID7,IQU,PEQ96488546
ID8,WXE,KNO05876158
ID9,,KYN26317636
ID10,ODB,FNY79784308
ID11,FXG,ZGO27280794
ID12,JUZ,MKN68914308
ID13,WXG,SAE76770325
ID14,SSN,TQR06772909
ID15,LLU,HJE85812339
ID16,UHR,HMH73574226
ID17,CCN,NKL25055182
ID18,UIA,EEL81167275
ID19,TJN,DQN17254473
ID20,,ALW03215082
ID21,JOB,FER79000886
ID22,PEE,CDQ46356671
ID23,FRA,XWY04636280
ID24,,VJB87388004
ID25,SYR,UMD86967041
,PLF,ZYL74117131
ID27,GYU,MXG56362124
ID28,BWS,XKB54002312
ID29,QBM,XLT58956208
ID30,DDS,UWY46333772
ID31,,VGK84166304
,VPJ,QPI29911298
ID33,BPM,AUC81728033
ID34,OMW,AQS23924197
ID35,LWN,DBQ08174179
ID36,RWK,BGV81815092
ID37,BES,TAP81866737
ID38,,BLN74305745
ID39,SXL,GMX72002862
ID40,,IJB58136523
ID41,,ZNO97865951
ID42,IZH,LHF91566704
ID43,KXE,WXR53760583
ID44,GNH,UYH72204550
