Balance,Customer ID#,Account No.
,ID43,IEX10527180
313788,ID34,ODA18896644
6,,RHW45161445
998190,ID70,HLU05824158
5,ID53,MMA72090213
90761,ID33,RLL63271686
28,ID18,TEN15254675
690,ID39,SYI16687402
88,ID45,WGJ02507034
234,ID28,VSA61141329
70614145,,GDH82310872
,ID15,TYQ63950824
19591,ID61,HFV84960195
22,ID48,LEN69885656
8386,,YMW30203810
9235327,ID54,IEM67759417
730644,ID27,DPO16643946
59546466,ID26,TFT65472798
673722,ID16,OJI47646143
58725825,,
8313663,ID67,QTT65730437
32503,ID72,CEM73351102
,ID25,ZSR69521912
,ID55,IYO93516100
44880,ID44,YMU06131046
,ID9,YNX68287318
118,ID37,VUB60059613
,ID68,GIL83523013
65302709,ID40,
,ID73,KGG09380822
87,ID65,LZK12112164
855,ID58,LIB27785960
449,ID7,QCW35615683
46,ID49,YUE28588771
60,ID69,
217,ID13,RXS07712739
7818,ID14,JAA44134778
,ID35,DWS87636436
4,ID50,YJH67869456
364132,ID51,FDR91842312
4,ID56,REG64751951
5626227,ID52,ZKH16358787
,ID6,YGA58170245
9725584,ID8,AOY92385314
81839784,ID46,UJA16792361
1473925,ID17,SOH81867790
9644780,ID38,ZVR01650353
59,,MOO08744857
3,ID22,KGC34552489
8730,ID24,
8234212,ID42,EIL29395939
89,ID64,KCM22149791
781,ID71,RNT93975412
3070,ID10,ELG45351706
1,ID47,ZEM26496789
8308,ID57,PVD28597527
446022,ID5,AAQ06944943
6,ID12,LDN88122569
44651,ID36,RUE93842472
642685,ID21,YAM13121784
37,ID11,UEW64342716
200,ID19,CEP17680215
5,ID62,SLM84202272
879,ID63,BZE92825907
397610,ID4,HVD85432682
,ID31,MRT26424503
680,ID66,PFK58702252
,ID3,GXA87684782
,ID59,GGU04914696
498316,ID41,CTB66691702
649385,ID30,LNH45110159
,ID1,WZV96755382
97989,ID20,HGA35954486
