Currency,Account No.,Customer ID#,Balance
JGC,YJA11736333,ID1,3
UHM,EKS38478099,ID2,188447
DGW,BYP84586158,ID3,36217280
VHP,BHJ41165355,ID4,5925
FZR,GJP90933027,ID5,3151
XIT,MKU30897005,ID6,85
SRR,ZUB50862122,ID7,600536
CGZ,KPK31275598,ID8,30027586
BLG,IIY71942684,ID9,242
FGA,DJI28106617,ID10,5364
LQI,EZL65831322,ID11,58570
OKI,OXX41295881,ID12,945
TPU,FWL20222872,ID13,2512
SFZ,BTI20960048,ID14,6
AXW,EHH10198211,ID15,94233
KNG,VRO66525837,ID16,277
ULS,GAV84522466,ID17,455582
JNZ,MSD46418134,ID18,5380
UMT,NVE63147881,ID19,5
PIU,ZMK89522831,ID20,1
PWD,BCG10264660,ID21,60123
LSK,TWU59624127,ID22,
DIL,XSH32292033,ID23,40
VII,PRA13994171,ID24,
XZB,HOU29631938,ID25,19
AJI,OCZ43672115,ID26,82722032
SLV,STW97907215,ID27,58265070
TDB,JZW65118825,ID28,6396816
WNH,TAD84796870,ID29,
HDL,AJL06958610,ID30,6
INC,LGK00346752,ID31,9144
BTK,XXK75290635,ID32,593
ZYO,BDM89963587,ID33,64975
RVU,IRL41101685,ID34,44
WQZ,OLB01313781,ID35,34493
IIV,ZZQ49909145,ID36,4
XOV,YQR44140042,ID37,8
KGE,KYK96002058,ID38,7
HIS,HYL89970506,ID39,6176850
TSW,WWH15981225,ID40,1789058
SHD,TFK90775009,ID41,444
JHL,WMP92631896,ID42,9
QYU,ITO59831811,ID43,
LLC,HKG95283785,ID44,5103
BCA,HTM85073220,ID45,73914
UPG,FOY07231872,ID46,30926
CVJ,ITM87416836,ID47,5605158
ZBP,PZH78620782,ID48,
HQG,VIB06443007,ID49,669891
SJJ,KKJ45930691,ID50,507
ZZL,SLZ72513481,ID51,4638269
RHT,LFQ10440460,ID52,3895
XGR,FUL83248267,ID53,444
WOS,YKK28957934,ID54,4050443
WYP,JRA07062627,ID55,7
RBH,FUZ08185063,ID56,
TOO,POF36191257,ID57,91
TAS,MCJ33879438,ID58,108
JFI,DZP71125978,ID59,924
NTK,NCA09767271,ID60,863
WWT,TPT59607709,ID61,117
LSO,XZX70819789,ID62,187
FXY,WOS69755066,ID63,15300357
TVS,BNQ79456244,ID64,3321
AWV,DNO28771113,ID65,9
ECG,LNC88121983,ID66,316
FOG,YPU94967427,ID67,1000
CID,RZO23070443,ID68,35
YVO,WOC44487059,ID69,26
CEI,DFO70135167,ID70,
GBB,ZZV39537733,ID71,545156
LYJ,OTL53938866,ID72,
RGH,XQZ26017119,ID73,
WHX,FLJ22429477,ID74,25773354
TJW,TAR03881734,ID75,21
HOL,EFF53871371,ID76,3101
QUP,KZB74871104,ID77,6
MKO,RZB43862138,ID78,
EYO,CAX67730487,ID79,74998281
BOT,WTI85471892,ID80,31874587
FZQ,PKV99011459,ID81,1
FBO,VQR01834133,ID82,1382441
LIH,ZDU24657928,ID83,98
YTH,VLX53919083,ID84,
JHQ,QMH28194886,ID85,98
KUB,OKN35065270,ID86,93276
IUR,BKG72169606,ID87,
CTJ,JVX54119719,ID88,71
FDY,FXE23101311,ID89,35040040
